"No.","Time","Source","Destination","Protocol","Length","Info"
"2168","120.024965409","172.16.0.4","172.16.208.128","TCP","74","59274  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427941106 TSecr=0 WS=128"
"2169","120.025038611","172.16.208.128","172.16.0.4","TCP","74","12345  >  59274 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164755448 TSecr=1427941106 WS=128"
"2170","120.025763127","172.16.0.4","172.16.208.128","TCP","66","59274  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427941107 TSecr=164755448"
"2171","120.025775627","172.16.0.4","172.16.208.128","TCP","67","59274  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427941107 TSecr=164755448"
"2172","120.025927631","172.16.208.128","172.16.0.4","TCP","66","12345  >  59274 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164755449 TSecr=1427941107"
"2173","120.026125935","172.16.0.4","172.16.208.128","TCP","66","59274  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427941108 TSecr=164755448"
"2174","120.026343040","172.16.208.128","172.16.0.4","TCP","66","12345  >  59274 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164755449 TSecr=1427941108"
"2175","120.026765549","172.16.0.4","172.16.208.128","TCP","66","59274  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427941109 TSecr=164755449"
"2176","120.108366957","172.16.0.4","172.16.208.128","TCP","74","59276  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427941190 TSecr=0 WS=128"
"2177","120.108514660","172.16.208.128","172.16.0.4","TCP","74","12345  >  59276 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164755531 TSecr=1427941190 WS=128"
"2178","120.109299778","172.16.0.4","172.16.208.128","TCP","66","59276  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427941191 TSecr=164755531"
"2179","120.109638185","172.16.0.4","172.16.208.128","TCP","67","59276  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427941191 TSecr=164755531"
"2180","120.109654986","172.16.0.4","172.16.208.128","TCP","66","59276  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427941191 TSecr=164755531"
"2181","120.109708987","172.16.208.128","172.16.0.4","TCP","66","12345  >  59276 [ACK] Seq=1 Ack=2 Win=65280 Len=0 TSval=164755533 TSecr=1427941191"
"2182","120.109877890","172.16.208.128","172.16.0.4","TCP","66","12345  >  59276 [FIN, ACK] Seq=1 Ack=3 Win=65280 Len=0 TSval=164755533 TSecr=1427941191"
"2183","120.110361101","172.16.0.4","172.16.208.128","TCP","66","59276  >  12345 [ACK] Seq=3 Ack=2 Win=64256 Len=0 TSval=1427941192 TSecr=164755533"
"2184","120.115152907","172.16.0.1","239.255.255.250","SSDP","166","M-SEARCH * HTTP/1.1 "
"2185","120.146373699","172.16.0.1","239.255.255.250","SSDP","171","M-SEARCH * HTTP/1.1 "
"2186","120.248385459","172.16.0.4","172.16.208.128","TCP","74","59278  >  12345 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1427941330 TSecr=0 WS=128"
"2187","120.248473161","172.16.208.128","172.16.0.4","TCP","74","12345  >  59278 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=164755671 TSecr=1427941330 WS=128"
"2188","120.249178576","172.16.0.4","172.16.208.128","TCP","66","59278  >  12345 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1427941331 TSecr=164755671"
"2189","120.249764989","172.16.0.4","172.16.208.128","TCP","67","59278  >  12345 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=1 TSval=1427941331 TSecr=164755671"
"2190","120.249781689","172.16.0.4","172.16.208.128","TCP","66","59278  >  12345 [FIN, ACK] Seq=2 Ack=1 Win=64256 Len=0 TSval=1427941331 TSecr=164755671"
